name,yellow,second_yellow,red,goals,assists,g/a,position,actual_team,actual_league,value,player_league,player_team,player_nationality,appearances,age
Pablo Marín,1.0,0.0,0.0,,,,Mediocentro ofensivo,,,,LaLiga,Real Sociedad,España,10.0,
Dani Gómez,1.0,0.0,0.0,,,,Delantero centro,,,,LaLiga,RCD Espanyol,España,8.0,
Darwin Machís,1.0,0.0,0.0,0.0,2.0,2.0,Extremo izquierdo,,,,LaLiga,Real Valladolid CF,Venezuela,11.0,30.0
Cenk Özkacar,1.0,0.0,0.0,,,,Defensa central,,,,LaLiga,Valencia CF,Turquía,17.0,
Jaime Seoane,1.0,0.0,0.0,,,,Mediocentro,,,,LaLiga,Getafe CF,España,16.0,
Aitor Fernández,1.0,0.0,0.0,,,,Portero,,,,LaLiga,CA Osasuna,España,21.0,
Samu Saiz,1.0,0.0,0.0,2.0,0.0,2.0,Mediocentro ofensivo,,,,LaLiga,Girona FC,España,8.0,31.0
Curro Sánchez,1.0,0.0,0.0,,,,Extremo derecho,,,,LaLiga,UD Almería,España,2.0,
Lázaro,1.0,0.0,0.0,6.0,0.0,6.0,Extremo izquierdo,,,,LaLiga,UD Almería,Brasil,19.0,21.0
Aleix García,1.0,0.0,0.0,1.0,6.0,7.0,Mediocentro,Girona FC,LaLiga,20.0,LaLiga,Girona FC,España,30.0,25.0
Iván Romero,1.0,0.0,0.0,,,,Delantero centro,,,,LaLiga,Sevilla FC,España,1.0,
Pol Lirola,1.0,0.0,0.0,1.0,0.0,1.0,Lateral derecho,,,,LaLiga,Elche CF,España,12.0,25.0
Mikel Oyarzabal,1.0,0.0,0.0,4.0,1.0,5.0,Extremo izquierdo,Real Sociedad,LaLiga,50.0,LaLiga,Real Sociedad,España,23.0,26.0
Williot Swedberg,1.0,0.0,0.0,,,,Mediocentro ofensivo,,,,LaLiga,RC Celta de Vigo,Suecia,4.0,
Bebé,1.0,0.0,0.0,,,,Extremo izquierdo,,,,LaLiga,Rayo Vallecano,Cabo Verde,4.0,
Diego Moreno,1.0,0.0,0.0,,,,Lateral derecho,,,,LaLiga,CA Osasuna,España,11.0,
Valery Fernández,1.0,0.0,0.0,0.0,2.0,2.0,Extremo derecho,,,,LaLiga,Girona FC,España,25.0,23.0
Giovanni Di Lorenzo,2.0,0.0,0.0,3.0,4.0,7.0,Lateral derecho,SSC Nápoles,Serie A,22.0,Serie A,SSC Nápoles,Italia,37.0,29.0
Beto,2.0,0.0,0.0,10.0,1.0,11.0,Delantero centro,,,,Serie A,Udinese,Portugal,33.0,25.0
Gvidas Gineitis,2.0,0.0,0.0,,,,Mediocentro,,,,Serie A,Torino FC,Lituania,3.0,
Joaquín Sosa,2.0,0.0,0.0,,,,Defensa central,,,,Serie A,Bolonia,Uruguay,10.0,
Pedro Obiang,2.0,0.0,0.0,0.0,1.0,1.0,Mediocentro,,,,Serie A,US Sassuolo,Guinea Ecuatorial,17.0,31.0
Juan Jesus,2.0,0.0,0.0,1.0,0.0,1.0,Defensa central,,,,Serie A,SSC Nápoles,Brasil,15.0,31.0
Ola Solbakken,2.0,0.0,0.0,1.0,2.0,3.0,Extremo derecho,,,,Serie A,AS Roma,Noruega,14.0,24.0
Leonardo Bonucci,2.0,0.0,0.0,1.0,0.0,1.0,Defensa central,,,,Serie A,Juventus de Turín,Italia,16.0,36.0
Filippo Terracciano,2.0,0.0,0.0,0.0,1.0,1.0,Lateral derecho,,,,Serie A,Hellas Verona,Italia,20.0,20.0
Federico Chiesa,2.0,0.0,0.0,2.0,5.0,7.0,Extremo izquierdo,Juventus de Turín,Serie A,50.0,Serie A,Juventus de Turín,Italia,21.0,25.0
Mathías Olivera,2.0,0.0,0.0,2.0,2.0,4.0,Lateral izquierdo,SSC Nápoles,Serie A,17.0,Serie A,SSC Nápoles,Uruguay,30.0,25.0
Hans Nicolussi Caviglia,2.0,0.0,0.0,1.0,0.0,1.0,Mediocentro,,,,Serie A,US Salernitana 1919,Italia,12.0,22.0
Marcos Antônio,2.0,0.0,0.0,1.0,1.0,2.0,Mediocentro,,,,Serie A,SS Lazio,Brasil,16.0,22.0
Adam Masina,2.0,0.0,0.0,2.0,0.0,2.0,Lateral izquierdo,,,,Serie A,Udinese,Marruecos,14.0,29.0
Tammy Abraham,2.0,0.0,0.0,8.0,4.0,12.0,Delantero centro,AS Roma,Serie A,35.0,Serie A,AS Roma,Inglaterra,38.0,25.0
Marco D'Alessandro,2.0,0.0,0.0,,,,Extremo derecho,,,,Serie A,AC Monza,Italia,8.0,
Luca Zanimacchia,2.0,0.0,0.0,,,,Extremo derecho,,,,Serie A,US Cremonese,Italia,15.0,
Giulio Maggiore,2.0,0.0,0.0,,,,Mediocentro,,,,Serie A,US Salernitana 1919,Italia,16.0,
Gerard Deulofeu,2.0,0.0,0.0,2.0,6.0,8.0,Delantero centro,,,,Serie A,Udinese,España,16.0,28.0
Valentin Antov,2.0,0.0,0.0,,,,Defensa central,,,,Serie A,AC Monza,Bulgaria,9.0,
Oliver Abildgaard,2.0,0.0,0.0,,,,Pivote,,,,Serie A,Hellas Verona,Dinamarca,13.0,
Amir Rrahmani,2.0,0.0,0.0,2.0,1.0,3.0,Defensa central,SSC Nápoles,Serie A,20.0,Serie A,SSC Nápoles,Kosovo,29.0,29.0
Giuseppe Pezzella,2.0,0.0,0.0,0.0,1.0,1.0,Lateral izquierdo,,,,Serie A,US Lecce,Italia,16.0,25.0
Lorenzo Malagrida,2.0,0.0,0.0,,,,Interior izquierdo,,,,Serie A,UC Sampdoria,Italia,6.0,
Abdou Harroui,2.0,0.0,0.0,2.0,0.0,2.0,Mediocentro,,,,Serie A,US Sassuolo,Marruecos,23.0,25.0
Matteo Gabbia,2.0,0.0,0.0,,,,Defensa central,,,,Serie A,AC Milan,Italia,12.0,
Kevin Lasagna,2.0,0.0,0.0,1.0,1.0,2.0,Delantero centro,,,,Serie A,Hellas Verona,Italia,26.0,30.0
Matteo Lovato,2.0,0.0,0.0,,,,Defensa central,,,,Serie A,US Salernitana 1919,Italia,17.0,
Martín Montoya,1.0,0.0,0.0,,,,Lateral derecho,,,,LaLiga,Real Betis Balompié,España,6.0,
Jon Karrikaburu,1.0,0.0,0.0,,,,Delantero centro,,,,LaLiga,Real Sociedad,España,6.0,
Omar El Hilali,1.0,0.0,0.0,,,,Lateral derecho,,,,LaLiga,RCD Espanyol,Marruecos,5.0,
Iván Sánchez,1.0,0.0,0.0,,,,Extremo derecho,,,,LaLiga,Real Valladolid CF,España,25.0,
Gerónimo Rulli,1.0,0.0,0.0,,,,Portero,,,,LaLiga,Villarreal CF,Argentina,14.0,
Rubén Sánchez,1.0,0.0,0.0,0.0,2.0,2.0,Lateral derecho,,,,LaLiga,RCD Espanyol,España,18.0,22.0
Borja García,1.0,0.0,0.0,1.0,0.0,1.0,Mediocentro ofensivo,,,,LaLiga,Girona FC,España,11.0,32.0
Aridane Hernández,1.0,0.0,0.0,0.0,1.0,1.0,Defensa central,,,,LaLiga,CA Osasuna,España,23.0,34.0
Marko Dmitrović,1.0,0.0,0.0,,,,Portero,,,,LaLiga,Sevilla FC,Serbia,15.0,
Pol Lozano,1.0,0.0,0.0,,,,Mediocentro,,,,LaLiga,RCD Espanyol,España,4.0,
Zouhair Feddal,1.0,0.0,0.0,,,,Defensa central,,,,LaLiga,Real Valladolid CF,Marruecos,8.0,
Álex Sola,1.0,0.0,0.0,,,,Lateral derecho,,,,LaLiga,Real Sociedad,España,10.0,
Rodrigo Riquelme,1.0,0.0,0.0,4.0,4.0,8.0,Extremo izquierdo,Atlético de Madrid,LaLiga,25.0,LaLiga,Girona FC,España,34.0,23.0
Andrés Martín,1.0,0.0,0.0,,,,Delantero centro,,,,LaLiga,Rayo Vallecano,España,9.0,
Mario Hernández,1.0,0.0,0.0,,,,Lateral derecho,,,,LaLiga,Rayo Vallecano,España,3.0,
Raúl Guti,1.0,0.0,0.0,,,,Mediocentro,,,,LaLiga,Elche CF,España,28.0,
Suso,1.0,0.0,0.0,2.0,4.0,6.0,Extremo derecho,,,,LaLiga,Sevilla FC,España,25.0,29.0
Joel Roca,1.0,0.0,0.0,,,,Extremo izquierdo,,,,LaLiga,Girona FC,España,5.0,
Thomas Lemar,1.0,0.0,0.0,,,,Mediocentro ofensivo,,,,LaLiga,Atlético de Madrid,Francia,27.0,
Karim Benzema,1.0,0.0,0.0,19.0,3.0,22.0,Delantero centro,,,,LaLiga,Real Madrid CF,Francia,24.0,35.0
Alberto Marí,1.0,0.0,0.0,1.0,0.0,1.0,Delantero centro,,,,LaLiga,Valencia CF,España,5.0,21.0
Kike Barja,1.0,0.0,0.0,1.0,6.0,7.0,Extremo derecho,,,,LaLiga,CA Osasuna,España,27.0,26.0
Anuar,1.0,0.0,0.0,1.0,0.0,1.0,Mediocentro,,,,LaLiga,Real Valladolid CF,Marruecos,3.0,27.0
Alexander Callens,1.0,0.0,0.0,,,,Defensa central,,,,LaLiga,Girona FC,Perú,6.0,
Rober González,1.0,0.0,0.0,,,,Mediocentro ofensivo,,,,LaLiga,Real Betis Balompié,España,2.0,
Federico Bonazzoli,1.0,0.0,0.0,2.0,2.0,4.0,Delantero centro,,,,Serie A,US Salernitana 1919,Italia,24.0,26.0
Lazar Samardžić,1.0,0.0,0.0,5.0,4.0,9.0,Mediocentro,Udinese,Serie A,20.0,Serie A,Udinese,Serbia,37.0,21.0
Duván Zapata,1.0,0.0,0.0,2.0,3.0,5.0,Delantero centro,,,,Serie A,Atalanta de Bérgamo,Colombia,25.0,32.0
Jack Hendry,1.0,0.0,0.0,,,,Defensa central,,,,Serie A,US Cremonese,Escocia,4.0,
Kaan Ayhan,1.0,0.0,0.0,,,,Pivote,,,,Serie A,US Sassuolo,Turquía,10.0,
Divock Origi,1.0,0.0,0.0,2.0,1.0,3.0,Delantero centro,,,,Serie A,AC Milan,Bélgica,27.0,28.0
André Onana,1.0,0.0,0.0,,,,Portero,Manchester United,Premier League,40.0,Serie A,Inter de Milán,Camerún,24.0,27.0
Filippo Ranocchia,1.0,0.0,0.0,1.0,0.0,1.0,Mediocentro,,,,Serie A,AC Monza,Italia,14.0,22.0
Josh Doig,1.0,0.0,0.0,2.0,4.0,6.0,Lateral izquierdo,,,,Serie A,Hellas Verona,Escocia,22.0,21.0
Jacopo Sala,1.0,0.0,0.0,,,,Mediocentro,,,,Serie A,Spezia,Italia,6.0,
Yacine Adli,1.0,0.0,0.0,,,,Pivote,,,,Serie A,AC Milan,Francia,6.0,
Marko Pjaca,1.0,0.0,0.0,,,,Extremo izquierdo,,,,Serie A,FC Empoli,Croacia,17.0,
Riccardo Marchizza,1.0,0.0,0.0,0.0,1.0,1.0,Lateral izquierdo,,,,Serie A,US Sassuolo,Italia,10.0,25.0
Lorenzo De Silvestri,1.0,0.0,0.0,1.0,0.0,1.0,Lateral derecho,,,,Serie A,Bolonia,Italia,15.0,35.0
Romelu Lukaku,1.0,0.0,0.0,10.0,6.0,16.0,Delantero centro,AS Roma,Serie A,35.0,Serie A,Inter de Milán,Bélgica,25.0,30.0
Matteo Politano,1.0,0.0,0.0,3.0,3.0,6.0,Extremo derecho,SSC Nápoles,Serie A,15.0,Serie A,SSC Nápoles,Italia,27.0,29.0
Filippo Missori,1.0,0.0,0.0,,,,Lateral derecho,,,,Serie A,AS Roma,Italia,3.0,
Jesús Vázquez,1.0,0.0,0.0,,,,Lateral izquierdo,,,,LaLiga,Valencia CF,España,10.0,
Aïssa Mandi,1.0,0.0,0.0,,,,Defensa central,,,,LaLiga,Villarreal CF,Argelia,21.0,
Rafa Mir,1.0,0.0,0.0,6.0,0.0,6.0,Delantero centro,,,,LaLiga,Sevilla FC,España,26.0,25.0
Sergio Camello,1.0,0.0,0.0,6.0,5.0,11.0,Delantero centro,,,,LaLiga,Rayo Vallecano,España,38.0,22.0
Pep Chavarría,1.0,0.0,0.0,0.0,2.0,2.0,Lateral izquierdo,,,,LaLiga,Rayo Vallecano,España,16.0,25.0
Dennis Hadzikadunic,1.0,0.0,0.0,,,,Defensa central,,,,LaLiga,RCD Mallorca,Bosnia y Herzegovina,8.0,
Pablo Ibáñez,1.0,0.0,0.0,0.0,1.0,1.0,Mediocentro,,,,LaLiga,CA Osasuna,España,25.0,24.0
Gonzalo Plata,1.0,0.0,0.0,1.0,7.0,8.0,Extremo derecho,,,,LaLiga,Real Valladolid CF,Ecuador,34.0,22.0
Álex Collado,1.0,0.0,0.0,1.0,1.0,2.0,Extremo derecho,,,,LaLiga,Elche CF,España,15.0,24.0
Marco Asensio,1.0,0.0,0.0,9.0,6.0,15.0,Extremo izquierdo,París Saint-Germain FC,Ligue 1,20.0,LaLiga,Real Madrid CF,España,31.0,27.0
Toni Lato,1.0,0.0,0.0,1.0,0.0,1.0,Lateral izquierdo,,,,LaLiga,Valencia CF,España,24.0,25.0
Raúl Parra,1.0,0.0,0.0,,,,Lateral derecho,,,,LaLiga,Cádiz CF,España,6.0,
Álvaro Fernández,1.0,0.0,0.0,,,,Portero,,,,LaLiga,RCD Espanyol,España,11.0,
Pietro Terracciano,1.0,0.0,0.0,,,,Portero,,,,Serie A,Fiorentina,Italia,29.0,
Santiago Ascacíbar,1.0,0.0,0.0,,,,Pivote,,,,Serie A,US Cremonese,Argentina,13.0,
Joaquín Correa,1.0,0.0,0.0,3.0,1.0,4.0,Mediapunta,,,,Serie A,Inter de Milán,Argentina,26.0,28.0
Daniel Ciofani,1.0,0.0,0.0,8.0,0.0,8.0,Delantero centro,,,,Serie A,US Cremonese,Italia,32.0,37.0
Pedro,1.0,0.0,0.0,4.0,5.0,9.0,Extremo derecho,,,,Serie A,SS Lazio,España,36.0,35.0
Patric,1.0,0.0,0.0,,,,Defensa central,,,,Serie A,SS Lazio,España,18.0,
Ignacio Pussetto,1.0,0.0,0.0,,,,Extremo derecho,,,,Serie A,UC Sampdoria,Argentina,5.0,
Guillermo Ochoa,1.0,0.0,0.0,,,,Portero,,,,Serie A,US Salernitana 1919,México,20.0,
Rasmus Højlund,1.0,0.0,0.0,9.0,4.0,13.0,Delantero centro,Manchester United,Premier League,65.0,Serie A,Atalanta de Bérgamo,Dinamarca,32.0,20.0
Yayah Kallon,1.0,0.0,0.0,1.0,1.0,2.0,Extremo derecho,,,,Serie A,Hellas Verona,Sierra Leona,22.0,21.0
Roberto Soriano,1.0,0.0,0.0,1.0,3.0,4.0,Mediocentro ofensivo,,,,Serie A,Bolonia,Italia,27.0,32.0
Mile Svilar,1.0,0.0,0.0,,,,Portero,,,,Serie A,AS Roma,Serbia,3.0,
Michel Adopo,1.0,0.0,0.0,,,,Mediocentro,,,,Serie A,Torino FC,Francia,9.0,
Giovanni Simeone,1.0,0.0,0.0,4.0,1.0,5.0,Delantero centro,,,,Serie A,SSC Nápoles,Argentina,25.0,27.0
Samuel Iling-Junior,1.0,0.0,0.0,1.0,1.0,2.0,Extremo izquierdo,,,,Serie A,Juventus de Turín,Inglaterra,12.0,19.0
Nikola Vlašić,1.0,0.0,0.0,5.0,6.0,11.0,Mediocentro ofensivo,,,,Serie A,Torino FC,Croacia,34.0,25.0
Flavio Paoletti,1.0,0.0,0.0,,,,Mediocentro,,,,Serie A,UC Sampdoria,Italia,12.0,
William Troost-Ekong,1.0,0.0,0.0,1.0,0.0,1.0,Defensa central,,,,Serie A,US Salernitana 1919,Nigeria,9.0,29.0
Viktor Kovalenko,1.0,0.0,0.0,0.0,1.0,1.0,Mediocentro ofensivo,,,,Serie A,Spezia,Ucrania,18.0,27.0
Domen Crnigoj,1.0,0.0,0.0,,,,Mediocentro,,,,Serie A,US Salernitana 1919,Eslovenia,7.0,
Aster Vranckx,1.0,0.0,0.0,0.0,1.0,1.0,Mediocentro,,,,Serie A,AC Milan,Bélgica,9.0,20.0
Josip Brekalo,1.0,0.0,0.0,0.0,1.0,1.0,Extremo izquierdo,,,,Serie A,Fiorentina,Croacia,6.0,24.0
Rui Patrício,1.0,0.0,0.0,,,,Portero,,,,Serie A,AS Roma,Portugal,35.0,
Marko Lazetic,1.0,0.0,0.0,,,,Delantero centro,,,,Serie A,AC Milan,Serbia,1.0,
Agustín Álvarez,1.0,0.0,0.0,1.0,1.0,2.0,Delantero centro,,,,Serie A,US Sassuolo,Uruguay,22.0,21.0
Andrea Colpani,1.0,0.0,0.0,4.0,1.0,5.0,Mediocentro ofensivo,AC Monza,Serie A,15.0,Serie A,AC Monza,Italia,27.0,24.0
Salvatore Molina,1.0,0.0,0.0,,,,Interior derecho,,,,Serie A,AC Monza,Italia,5.0,
Ștefan Radu,1.0,0.0,0.0,,,,Lateral izquierdo,,,,Serie A,SS Lazio,Rumania,1.0,
Jeroen Zoet,1.0,0.0,0.0,,,,Portero,,,,Serie A,Spezia,Países Bajos,5.0,
Luca Ranieri,1.0,0.0,0.0,,,,Defensa central,,,,Serie A,Fiorentina,Italia,9.0,
Daniel Maldini,1.0,0.0,0.0,2.0,0.0,2.0,Mediocentro ofensivo,,,,Serie A,Spezia,Italia,18.0,21.0
Warren Bondo,1.0,0.0,0.0,,,,Mediocentro,,,,Serie A,AC Monza,Francia,4.0,
Frank Tsadjout,1.0,0.0,0.0,3.0,1.0,4.0,Delantero centro,,,,Serie A,US Cremonese,Italia,20.0,23.0
Joshua Zirkzee,1.0,0.0,0.0,2.0,2.0,4.0,Delantero centro,Bolonia,Serie A,30.0,Serie A,Bolonia,Países Bajos,19.0,22.0
Marco Carnesecchi,1.0,0.0,0.0,0.0,1.0,1.0,Portero,,,,Serie A,US Cremonese,Italia,27.0,22.0
Khvicha Kvaratskhelia,1.0,0.0,0.0,12.0,13.0,25.0,Extremo izquierdo,SSC Nápoles,Serie A,80.0,Serie A,SSC Nápoles,Georgia,34.0,22.0
Nemanja Radonjic,1.0,0.0,0.0,2.0,2.0,4.0,Extremo izquierdo,,,,Serie A,Torino FC,Serbia,28.0,27.0
Denso Kasius,1.0,0.0,0.0,0.0,2.0,2.0,Lateral derecho,,,,Serie A,Bolonia,Países Bajos,7.0,20.0
Wojciech Szczesny,1.0,0.0,0.0,,,,Portero,,,,Serie A,Juventus de Turín,Polonia,28.0,
Dusan Vlahovic,1.0,0.0,0.0,10.0,2.0,12.0,Delantero centro,Juventus de Turín,Serie A,60.0,Serie A,Juventus de Turín,Serbia,27.0,23.0
Michaël Cuisance,1.0,0.0,0.0,,,,Mediocentro,,,,Serie A,UC Sampdoria,Francia,12.0,
Cristiano Biraghi,1.0,0.0,0.0,2.0,5.0,7.0,Lateral izquierdo,,,,Serie A,Fiorentina,Italia,33.0,30.0
Riccardo Sottil,1.0,0.0,0.0,0.0,2.0,2.0,Extremo izquierdo,,,,Serie A,Fiorentina,Italia,18.0,23.0
Alessandro Bianco,1.0,0.0,0.0,,,,Mediocentro,,,,Serie A,Fiorentina,Italia,7.0,
Lionel Messi,,,,16.0,16.0,32.0,Extremo derecho,,,,Ligue 1,París Saint-Germain FC,Argentina,32.0,35.0
Loïs Openda,,,,21.0,4.0,25.0,Delantero centro,RB Leipzig,Bundesliga,55.0,Ligue 1,RC Lens,Bélgica,38.0,23.0
Iago Aspas,,,,12.0,4.0,16.0,Delantero centro,,,,LaLiga,RC Celta de Vigo,España,37.0,35.0
Rodrygo,,,,9.0,9.0,18.0,Extremo derecho,Real Madrid CF,LaLiga,100.0,LaLiga,Real Madrid CF,Brasil,34.0,22.0
Serge Gnabry,,,,14.0,6.0,20.0,Extremo derecho,Bayern Múnich,Bundesliga,45.0,Bundesliga,Bayern Múnich,Alemania,34.0,27.0
Donyell Malen,,,,9.0,7.0,16.0,Extremo derecho,Borussia Dortmund,Bundesliga,35.0,Bundesliga,Borussia Dortmund,Países Bajos,26.0,24.0
Thomas Müller,,,,7.0,8.0,15.0,Mediapunta,,,,Bundesliga,Bayern Múnich,Alemania,27.0,33.0
Jamal Musiala,,,,12.0,13.0,25.0,Mediocentro ofensivo,Bayern Múnich,Bundesliga,110.0,Bundesliga,Bayern Múnich,Alemania,33.0,20.0
Marcus Thuram,,,,13.0,6.0,19.0,Delantero centro,Inter de Milán,Serie A,55.0,Bundesliga,Borussia Mönchengladbach,Francia,30.0,25.0
Daichi Kamada,,,,9.0,7.0,16.0,Mediocentro ofensivo,SS Lazio,Serie A,20.0,Bundesliga,Eintracht Fráncfort​​,Japón,32.0,26.0
Lars Stindl,,,,8.0,7.0,15.0,Mediocentro ofensivo,,,,Bundesliga,Borussia Mönchengladbach,Alemania,29.0,34.0
Erling Haaland,,,,36.0,8.0,44.0,Delantero centro,Manchester City,Premier League,180.0,Premier League,Manchester City,Noruega,35.0,22.0
Kevin De Bruyne,,,,7.0,18.0,25.0,Mediocentro ofensivo,Manchester City,Premier League,60.0,Premier League,Manchester City,Bélgica,32.0,31.0
Roberto Firmino,,,,11.0,4.0,15.0,Delantero centro,,,,Premier League,Liverpool FC,Brasil,25.0,31.0
Bukayo Saka,,,,14.0,11.0,25.0,Extremo derecho,Arsenal FC,Premier League,120.0,Premier League,Arsenal FC,Inglaterra,38.0,21.0
Gabriel Martinelli,,,,15.0,5.0,20.0,Extremo izquierdo,Arsenal FC,Premier League,85.0,Premier League,Arsenal FC,Brasil,36.0,21.0
İlkay Gündoğan,,,,8.0,5.0,13.0,Mediocentro,FC Barcelona,LaLiga,18.0,Premier League,Manchester City,Alemania,31.0,32.0
James Ward-Prowse,,,,9.0,4.0,13.0,Mediocentro,West Ham United,Premier League,38.0,Premier League,Southampton FC,Inglaterra,38.0,28.0
Kaoru Mitoma,,,,7.0,6.0,13.0,Extremo izquierdo,Brighton & Hove Albion,Premier League,50.0,Premier League,Brighton & Hove Albion,Japón,33.0,26.0
Michael Olise,,,,2.0,11.0,13.0,Extremo derecho,Crystal Palace,Premier League,50.0,Premier League,Crystal Palace,Francia,37.0,21.0
Julián Álvarez,,,,9.0,1.0,10.0,Mediapunta,Manchester City,Premier League,90.0,Premier League,Manchester City,Argentina,31.0,23.0
Kelechi Iheanacho,,,,5.0,5.0,10.0,Delantero centro,,,,Premier League,Leicester City,Nigeria,28.0,26.0
Jadon Sancho,,,,6.0,3.0,9.0,Extremo izquierdo,Borussia Dortmund,Bundesliga,25.0,Premier League,Manchester United,Inglaterra,26.0,23.0
Pierre-Emile Højbjerg,,,,4.0,5.0,9.0,Pivote,,,,Premier League,Tottenham Hotspur,Dinamarca,35.0,27.0
Anthony Martial,,,,6.0,2.0,8.0,Delantero centro,,,,Premier League,Manchester United,Francia,21.0,27.0
Cody Gakpo,,,,7.0,3.0,10.0,Delantero centro,Liverpool FC,Premier League,50.0,Premier League,Liverpool FC,Países Bajos,21.0,24.0
Danny Welbeck,,,,6.0,4.0,10.0,Delantero centro,,,,Premier League,Brighton & Hove Albion,Inglaterra,31.0,32.0
Saïd Benrahma,,,,6.0,3.0,9.0,Extremo izquierdo,,,,Premier League,West Ham United,Argelia,35.0,27.0
Christian Eriksen,,,,1.0,8.0,9.0,Mediocentro,,,,Premier League,Manchester United,Dinamarca,28.0,31.0
Carlos Vinícius,,,,5.0,2.0,7.0,Delantero centro,,,,Premier League,Fulham FC,Brasil,28.0,28.0
Harry Wilson,,,,2.0,5.0,7.0,Extremo derecho,,,,Premier League,Fulham FC,Gales,29.0,26.0
Jacob Murphy,,,,4.0,2.0,6.0,Extremo derecho,,,,Premier League,Newcastle United,Inglaterra,36.0,28.0
Emiliano Buendía,,,,5.0,2.0,7.0,Extremo derecho,,,,Premier League,Aston Villa,Argentina,38.0,26.0
El Bilal Touré,,,,7.0,2.0,9.0,Delantero centro,Atalanta de Bérgamo,Serie A,20.0,LaLiga,UD Almería,Malí,21.0,21.0
Ante Budimir,,,,8.0,1.0,9.0,Delantero centro,,,,LaLiga,CA Osasuna,Croacia,31.0,31.0
Viktor Tsygankov,,,,3.0,6.0,9.0,Extremo derecho,,,,LaLiga,Girona FC,Ucrania,19.0,25.0
Pedri,,,,6.0,1.0,7.0,Mediocentro,FC Barcelona,LaLiga,90.0,LaLiga,FC Barcelona,España,26.0,20.0
Carlos Alcaraz,,,,4.0,2.0,6.0,Mediocentro,,,,Premier League,Southampton FC,Argentina,18.0,20.0
Patrick Bamford,,,,4.0,2.0,6.0,Delantero centro,,,,Premier League,Leeds United,Inglaterra,28.0,29.0
Pedro Porro,,,,3.0,3.0,6.0,Lateral derecho,Tottenham Hotspur,Premier League,45.0,Premier League,Tottenham Hotspur,España,15.0,23.0
Tomas Soucek,,,,2.0,3.0,5.0,Pivote,,,,Premier League,West Ham United,República Checa,36.0,28.0
Kenny Tete,,,,1.0,5.0,6.0,Lateral derecho,,,,Premier League,Fulham FC,Países Bajos,31.0,27.0
Reiss Nelson,,,,3.0,2.0,5.0,Extremo derecho,,,,Premier League,Arsenal FC,Inglaterra,11.0,23.0
Pablo Fornals,,,,3.0,1.0,4.0,Mediocentro ofensivo,,,,Premier League,West Ham United,España,32.0,27.0
John McGinn,,,,1.0,3.0,4.0,Mediocentro,,,,Premier League,Aston Villa,Escocia,34.0,28.0
Manor Solomon,,,,4.0,0.0,4.0,Extremo izquierdo,,,,Premier League,Fulham FC,Israel,19.0,23.0
Emmanuel Dennis,,,,2.0,2.0,4.0,Extremo izquierdo,,,,Premier League,Nottingham Forest,Nigeria,19.0,25.0
David Silva,,,,2.0,5.0,7.0,Mediocentro ofensivo,,,,LaLiga,Real Sociedad,España,28.0,37.0
Mikel Vesga,,,,3.0,3.0,6.0,Pivote,,,,LaLiga,Athletic Club,España,36.0,30.0
Rodri Sánchez,,,,2.0,4.0,6.0,Mediocentro ofensivo,,,,LaLiga,Real Betis Balompié,España,30.0,23.0
Álex Berenguer,,,,4.0,2.0,6.0,Extremo izquierdo,,,,LaLiga,Athletic Club,España,37.0,27.0
Fabian Schär,,,,1.0,3.0,4.0,Defensa central,,,,Premier League,Newcastle United,Suiza,36.0,31.0
Adam Lallana,,,,2.0,1.0,3.0,Mediocentro ofensivo,,,,Premier League,Brighton & Hove Albion,Inglaterra,16.0,34.0
Stuart Armstrong,,,,2.0,1.0,3.0,Mediocentro,,,,Premier League,Southampton FC,Escocia,32.0,31.0
Mateo Kovacic,,,,1.0,2.0,3.0,Mediocentro,Manchester City,Premier League,38.0,Premier League,Chelsea FC,Croacia,27.0,29.0
Brenden Aaronson,,,,1.0,3.0,4.0,Mediocentro ofensivo,1.FC Unión Berlín,Bundesliga,14.0,Premier League,Leeds United,Estados Unidos,36.0,22.0
Ethan Pinnock,,,,3.0,0.0,3.0,Defensa central,,,,Premier League,Brentford FC,Jamaica,30.0,29.0
Fábio Vieira,,,,1.0,2.0,3.0,Mediocentro ofensivo,,,,Premier League,Arsenal FC,Portugal,22.0,22.0
Sam Greenwood,,,,1.0,2.0,3.0,Mediocentro ofensivo,,,,Premier League,Leeds United,Inglaterra,18.0,21.0
Neeskens Kebano,,,,0.0,3.0,3.0,Extremo izquierdo,,,,Premier League,Fulham FC,RD del Congo,17.0,31.0
Hakim Ziyech,,,,0.0,3.0,3.0,Extremo derecho,,,,Premier League,Chelsea FC,Marruecos,18.0,30.0
Fábio Carvalho,,,,2.0,0.0,2.0,Mediocentro ofensivo,,,,Premier League,Liverpool FC,Portugal,13.0,20.0
Kurt Zouma,,,,2.0,0.0,2.0,Defensa central,,,,Premier League,West Ham United,Francia,25.0,28.0
Martin Terrier,,,,9.0,4.0,13.0,Extremo izquierdo,Stade Rennais FC,Ligue 1,22.0,Ligue 1,Stade Rennais FC,Francia,16.0,25.0
Jérémy Le Douaron,,,,10.0,3.0,13.0,Extremo izquierdo,,,,Ligue 1,Stade Brestois 29,Francia,32.0,25.0
Rony Lopes,,,,7.0,5.0,12.0,Extremo derecho,,,,Ligue 1,ESTAC Troyes,Portugal,32.0,27.0
Ricardo Pereira,,,,1.0,1.0,2.0,Lateral derecho,,,,Premier League,Leicester City,Portugal,10.0,29.0
