name,yellow,second_yellow,red,goals,assists,g/a,position,actual_team,actual_league,value,player_league,player_team,player_nationality,appearances,age
Martin Hongla,4.0,0.0,0.0,,,,Pivote,,,,Serie A,Hellas Verona,Camerún,9.0,
Pape Gueye,2.0,2.0,1.0,1.0,1.0,2.0,Pivote,,,,LaLiga,Sevilla FC,Senegal,16.0,24.0
Pedro Bigas,3.0,0.0,2.0,,,,Defensa central,,,,LaLiga,Elche CF,España,28.0,
Iñigo Ruiz de Galarreta,12.0,0.0,0.0,,,,Mediocentro,,,,LaLiga,RCD Mallorca,España,30.0,
Martín Zubimendi,12.0,0.0,0.0,,,,Pivote,Real Sociedad,LaLiga,50.0,LaLiga,Real Sociedad,España,36.0,24.0
Rubén Alcaraz,9.0,1.0,0.0,3.0,0.0,3.0,Mediocentro,,,,LaLiga,Cádiz CF,España,31.0,32.0
Oriol Romeu,9.0,1.0,0.0,2.0,0.0,2.0,Pivote,,,,LaLiga,Girona FC,España,33.0,31.0
Roque Mesa,9.0,1.0,0.0,2.0,1.0,3.0,Mediocentro,,,,LaLiga,Real Valladolid CF,España,29.0,33.0
Domingos Duarte,9.0,1.0,0.0,0.0,2.0,2.0,Defensa central,,,,LaLiga,Getafe CF,Portugal,31.0,28.0
Chimy Ávila,7.0,0.0,1.0,8.0,2.0,10.0,Delantero centro,,,,LaLiga,CA Osasuna,Argentina,29.0,29.0
Nahuel Molina,7.0,0.0,1.0,4.0,2.0,6.0,Lateral derecho,Atlético de Madrid,LaLiga,45.0,LaLiga,Atlético de Madrid,Argentina,33.0,25.0
Yeray Álvarez,7.0,0.0,1.0,,,,Defensa central,,,,LaLiga,Athletic Club,España,28.0,
José Copete,7.0,0.0,1.0,,,,Defensa central,,,,LaLiga,RCD Mallorca,España,28.0,
Lucas Boyé,7.0,0.0,1.0,7.0,3.0,10.0,Delantero centro,,,,LaLiga,Elche CF,Argentina,35.0,27.0
Ilaix Moriba,4.0,1.0,1.0,0.0,2.0,2.0,Mediocentro,,,,LaLiga,Valencia CF,Guinea,24.0,20.0
Óscar Valentín,11.0,0.0,0.0,,,,Mediocentro,,,,LaLiga,Rayo Vallecano,España,34.0,
Jaume Costa,11.0,0.0,0.0,,,,Lateral izquierdo,,,,LaLiga,RCD Mallorca,España,32.0,
Gerard Gumbau,11.0,0.0,0.0,1.0,6.0,7.0,Pivote,,,,LaLiga,Elche CF,España,35.0,28.0
Taty Castellanos,11.0,0.0,0.0,13.0,1.0,14.0,Delantero centro,SS Lazio,Serie A,15.0,LaLiga,Girona FC,Argentina,35.0,24.0
Rubén Sobrino,11.0,0.0,0.0,3.0,2.0,5.0,Delantero centro,,,,LaLiga,Cádiz CF,España,33.0,31.0
Arnau Martínez,11.0,0.0,0.0,3.0,4.0,7.0,Lateral derecho,Girona FC,LaLiga,15.0,LaLiga,Girona FC,España,33.0,20.0
